fid,gid,xcoord,ycoord
"87",마라199872,128.817241979017,35.1733811854078
"88",마라221932,128.842285378463,35.2272040571897
"89",마마220102,128.84371851968,35.3804628423817
"90",마라286974,128.914351299596,35.2642511943432
"91",마마311053,128.943092048436,35.3351384529291
"92",마라229939,128.851178908901,35.2334164748724
"93",마마148041,128.763610368548,35.3263285979478
"94",마라341938,128.974212040296,35.2310786854623
"95",마라213985,128.83427919501,35.2750786773928
"96",마라247928,128.870788473567,35.223278097013
"97",마마358000,128.993913643825,35.2867364423127
"98",마라134965,128.747158968871,35.2579756392475
"99",마라147967,128.761474778713,35.2596304887511
"100",마라239955,128.862407053067,35.2477165535097
"101",마마228075,128.852117975304,35.3560257702574
"102",마라241895,128.863699602299,35.1936044907431
"103",마마207040,128.828493817098,35.3247313581976
"104",마라216937,128.836866246771,35.2317721716421
"105",마마310040,128.941783884463,35.3234332684788
"106",마라139935,128.752238399674,35.2308741182771
"107",마라139944,128.752363116096,35.2389875564559
"108",마라208955,128.828341398293,35.2480953193406
"109",마마155026,128.771098611929,35.3127257585517
"110",마라284948,128.911746656925,35.2408396440119
"111",마라253936,128.87750165021,35.2304148608226
"112",마라341990,128.975061146724,35.2779518338395
"113",마라175876,128.790949184486,35.1772708566875
"114",마라276934,128.902739187491,35.2283217407639
"115",마마217101,128.840401542891,35.3795980858868
"116",마마321031,128.953737155987,35.3151757177483
"117",마마193048,128.813211265427,35.3321112670569
"118",마마280017,128.90842799373,35.303089549804
"119",마마313003,128.944490397005,35.2900416661415
"120",마라221898,128.841780903891,35.1965542640286
"121",마라296935,128.924726840383,35.2289665180399
"122",마마232069,128.856428922956,35.3505678138327
"123",마라248879,128.871144309817,35.1790943515722
"124",마라200908,128.818864272414,35.2058223904385
"125",마라178886,128.794386016444,35.1862505639617
"126",마라245961,128.869091277558,35.2530508289362
"127",마마115020,128.727024389246,35.3077713029232
"128",마라108992,128.718947533229,35.2826073059828
"129",마마103030,128.71396202929,35.3169194487939
"130",마라295924,128.923455039379,35.2190636977115
"131",마마317018,128.949129105086,35.3035102199056
"132",마라126985,128.73864080388,35.2760958151292
"133",마라133970,128.746128905932,35.262494420943
"134",마라175875,128.790934930267,35.1763693684257
"135",마마188059,128.807870819049,35.3420869375219
"136",마라099991,128.709039370157,35.2818051179048
"137",마마225091,128.849056876634,35.3704856907993
"138",마라295941,128.923722749138,35.2343880285064
"139",마라242979,128.866066748319,35.2693141577484
"140",마라280935,128.907149154897,35.2291721663718
"141",마마302020,128.932666892054,35.3055096018305
"142",마마226060,128.849692279661,35.3425287576309
"143",마라141945,128.75457462433,35.23986628578
"144",마라175923,128.791619847225,35.2196406476355
"145",마마163036,128.780039063823,35.3216476533333
"146",마라127953,128.739300777195,35.2472367603561
"147",마마312014,128.943567069579,35.2999703378747
"148",마라118990,128.729914388206,35.2806930220331
"149",마라196932,128.814819816273,35.2275055428757
"150",마라233886,128.85477966311,35.1855899498076
"151",마라213962,128.833939283923,35.2543451079076
"152",마라200966,128.819710892543,35.2581076415138
"153",마라178890,128.794443210437,35.189856505363
"154",마라349945,128.983115719139,35.2372811503704
"155",마라138935,128.751139696371,35.2308854811015
"156",마마122023,128.734763741666,35.3103974024498
"157",마마184034,128.803108265484,35.3195979565008
"158",마마184010,128.802761297696,35.2979628136184
"159",마마220017,128.842450252996,35.3038400454589
"160",마라200876,128.818398104124,35.1769751541065
"161",마마204022,128.824929278095,35.3085413844694
"162",마마099003,128.709200236376,35.2926231175107
"163",마라217936,128.837950121693,35.2308585673533
"164",마라223911,128.844170418771,35.2082489507263
"165",마라246942,128.869902085102,35.235910854399
"166",마마177033,128.795394711106,35.3187792329911
"167",마라276967,128.90325165541,35.2580691546249
